Temperature,Humidity,Crop
18.3,80,Tomato
18.3,81,Tomato
18.3,82,Tomato
18.3,83,Tomato
18.3,84,Tomato
18.3,85,Tomato
18.3,86,Tomato
18.3,87,Tomato
18.3,88,Tomato
18.3,89,Tomato
18.3,90,Tomato
18.9,80,Tomato
18.9,81,Tomato
18.9,82,Tomato
18.9,83,Tomato
18.9,84,Tomato
18.9,85,Tomato
18.9,86,Tomato
18.9,87,Tomato
18.9,88,Tomato
18.9,89,Tomato
18.9,90,Tomato
19.4,80,Tomato
19.4,81,Tomato
19.4,82,Tomato
19.4,83,Tomato
19.4,84,Tomato
19.4,85,Tomato
19.4,86,Tomato
19.4,87,Tomato
19.4,88,Tomato
19.4,89,Tomato
19.4,90,Tomato
20,80,Tomato
20,81,Tomato
20,82,Tomato
20,83,Tomato
20,84,Tomato
20,85,Tomato
20,86,Tomato
20,87,Tomato
20,88,Tomato
20,89,Tomato
20,90,Tomato
20.6,80,Tomato
20.6,81,Tomato
20.6,82,Tomato
20.6,83,Tomato
20.6,84,Tomato
20.6,85,Tomato
20.6,86,Tomato
20.6,87,Tomato
20.6,88,Tomato
20.6,89,Tomato
20.6,90,Tomato
21.1,80,Tomato
21.1,81,Tomato
21.1,82,Tomato
21.1,83,Tomato
21.1,84,Tomato
21.1,85,Tomato
21.1,86,Tomato
21.1,87,Tomato
21.1,88,Tomato
21.1,89,Tomato
21.1,90,Tomato
21.7,80,Tomato
21.7,81,Tomato
21.7,82,Tomato
21.7,83,Tomato
21.7,84,Tomato
21.7,85,Tomato
21.7,86,Tomato
21.7,87,Tomato
21.7,88,Tomato
21.7,89,Tomato
21.7,90,Tomato
22.2,80,Tomato
22.2,81,Tomato
22.2,82,Tomato
22.2,83,Tomato
22.2,84,Tomato
22.2,85,Tomato
22.2,86,Tomato
22.2,87,Tomato
22.2,88,Tomato
22.2,89,Tomato
22.2,90,Tomato
22.8,80,Tomato
22.8,81,Tomato
22.8,82,Tomato
22.8,83,Tomato
22.8,84,Tomato
22.8,85,Tomato
22.8,86,Tomato
22.8,87,Tomato
22.8,88,Tomato
22.8,89,Tomato
22.8,90,Tomato
23.3,80,Tomato
23.3,81,Tomato
23.3,82,Tomato
23.3,83,Tomato
23.3,84,Tomato
23.3,85,Tomato
23.3,86,Tomato
23.3,87,Tomato
23.3,88,Tomato
23.3,89,Tomato
23.3,90,Tomato
23.9,80,Tomato
23.9,81,Tomato
23.9,82,Tomato
23.9,83,Tomato
23.9,84,Tomato
23.9,85,Tomato
23.9,86,Tomato
23.9,87,Tomato
23.9,88,Tomato
23.9,89,Tomato
